id,address,price_aed,bedrooms,bathrooms,square_feet,property_type,area,developer,completion_date,view,amenities,service_charges,agent,agency,status,listing_date,last_updated
250,"Building 168, Floor 1, Unit 1, Emirates Hills, Dubai, UAE",14473251,3,5,3635,Villa,Emirates Hills,Azizi Developments,2023-08-20,Sea View,"Children's Playground, Central AC, Concierge, BBQ Area",29672,Mercedes Gallagher,"حنبولي, كانو and آل حسين",Sold,2025-04-27,2025-08-24 16:23:04
251,"Building 469, Floor 1, Unit 1, Al Hudaiba, Dubai, UAE",4259892,7,4,7959,Villa,Al Hudaiba,Nakheel,2021-10-23,Street View,"Balcony, Swimming Pool, Furnished",24290,Olivia Sawyer,"آل عايض, آل محمد بن علي بن جماز and شربتلي",Sold,2025-01-19,2025-08-24 16:23:04
252,"Building 641, Floor 33, Unit 443, Al Hudaiba, Dubai, UAE",6349708,6,2,6671,Duplex,Al Hudaiba,Deyaar Development,2023-03-22,Mountain View,"Garden, Study Room, Tennis Court, Concierge, Swimming Pool, Gym, Spa, BBQ Area",17562,Mary Kennedy,آل صفوان Inc,Available,2025-08-04,2025-08-24 16:23:04
253,"Building 37, Floor 49, Unit 439, Al Thanyah, Dubai, UAE",2789049,7,3,3508,Penthouse,Al Thanyah,Nakheel,2024-05-01,Pool View,"24/7 Maintenance, Terrace, Study Room, Tennis Court, Gym, Basketball Court, Modern Kitchen, Driver's Room",21573,لتين آل بن لافي,"Reeves, Jordan and Roach",Rented,2024-11-19,2025-08-24 16:23:04
254,"Building 911, Floor 1, Unit 1, Al Thanyah, Dubai, UAE",2620404,7,5,7470,Villa,Al Thanyah,Bloom Properties,2027-08-22,City View,"Central AC, Tennis Court, Basketball Court, Built-in Wardrobes, Children's Playground",6867,Julia Casey,"الشايع, آل رفيع and الجفالي",Under Contract,2025-06-26,2025-08-24 16:23:04
255,"Building 236, Floor 28, Unit 724, Al Warqa, Dubai, UAE",1530042,0,1,516,Studio,Al Warqa,Ellington Properties,2023-06-21,Sea View,"Central AC, Children's Playground, 24/7 Maintenance, Garden, Concierge, Security",25868,Jenny Pugh,Stout-Ruiz,Available,2024-08-31,2025-08-24 16:23:04
256,"Building 463, Floor 34, Unit 333, Al Qusais Industrial, Dubai, UAE",3086542,5,3,7425,Triplex,Al Qusais Industrial,Deyaar Development,2021-02-12,Pool View,"Balcony, Built-in Wardrobes, Study Room, Walk-in Closet, Gym",5774,المهندسة جوليا آل الشيخ,"Gonzales, Munoz and Golden",Sold,2024-09-14,2025-08-24 16:23:04
257,"Building 949, Floor 16, Unit 25, Jumeirah Park, Dubai, UAE",3132159,4,2,4604,Serviced Apartment,Jumeirah Park,Omniyat,2020-10-10,Mountain View,"Maid's Room, Furnished, Concierge, Parking",16256,راني المغاولة,Arias Group,Rented,2024-10-31,2025-08-24 16:23:04
258,"Building 825, Floor 16, Unit 380, Dubai Hills Estate, Dubai, UAE",1182695,6,6,7386,Garden Apartment,Dubai Hills Estate,Azizi Developments,2024-09-28,City View,"Built-in Wardrobes, Spa, Furnished, Basketball Court, Balcony, Study Room, Central AC, Gym",37722,Katherine Hunter,Baldwin-Golden,Sold,2025-02-05,2025-08-24 16:23:04
259,"Building 308, Floor 24, Unit 593, Al Marmoom, Dubai, UAE",1809837,5,4,7628,Garden Apartment,Al Marmoom,Aqua Properties,2022-09-01,Garden View,"Gym, Terrace, BBQ Area, Maid's Room, Tennis Court, Driver's Room",17096,الدكتور نضال آل الشيخ,Wong and Sons,Sold,2025-05-28,2025-08-24 16:23:04
260,"Building 162, Floor 24, Unit 943, Business Bay, Dubai, UAE",1027041,0,1,512,Studio,Business Bay,Chestertons,2022-04-26,Mountain View,"Terrace, Pet Friendly, Tennis Court, Balcony, Gym, Security",22535,ابتكار الحجار,المشاولة Inc,Available,2024-10-24,2025-08-24 16:23:04
261,"Building 987, Floor 29, Unit 427, Palm Jumeirah, Dubai, UAE",1040291,7,2,3948,Loft,Palm Jumeirah,Deyaar Development,2025-02-25,Mountain View,"Driver's Room, Pet Friendly, Walk-in Closet, Maid's Room, 24/7 Maintenance, Garden",16507,الدكتور حيدر الراشد,Hart LLC,Sold,2024-08-26,2025-08-24 16:23:04
262,"Building 41, Floor 1, Unit 1, The Springs, Dubai, UAE",14301178,6,2,4523,Villa,The Springs,Select Group,2022-09-30,Mountain View,"Walk-in Closet, Pet Friendly, Maid's Room, Tennis Court, Garden, Spa, Balcony",28052,الآنسة جودي الراشد,Todd-Perez,Rented,2025-07-04,2025-08-24 16:23:04
263,"Building 681, Floor 1, Unit 1, Dubai Hills Estate, Dubai, UAE",6235782,6,5,4304,Villa,Dubai Hills Estate,Savills,2025-06-16,Street View,"Driver's Room, Furnished, Garden",17301,Lance Reed,"آل عايض, آل محمد بن علي بن جماز and كانو",Rented,2025-01-10,2025-08-24 16:23:04
264,"Building 573, Floor 41, Unit 643, Dubai Media City, Dubai, UAE",2296819,7,6,6996,Serviced Apartment,Dubai Media City,Savills,2026-09-01,Street View,"Balcony, Central AC, Basketball Court, Garden, Parking, Maid's Room, Gym, Furnished",25570,المهندس وديع آل الشيخ,Kelley-Rogers,Sold,2024-12-07,2025-08-24 16:23:04
265,"Building 279, Floor 48, Unit 92, Dubai Media City, Dubai, UAE",3012095,7,3,5371,Loft,Dubai Media City,Union Properties,2024-06-16,Mountain View,"Furnished, Basketball Court, BBQ Area",16947,Mia Wilson DDS,"آل حسين, الجفالي and آل بن ظافر",Available,2024-09-02,2025-08-24 16:23:04
266,"Building 815, Floor 34, Unit 526, Al Khawaneej, Dubai, UAE",1998495,6,4,5794,Garden Apartment,Al Khawaneej,Knight Frank,2023-11-08,Mountain View,"Built-in Wardrobes, Terrace, Parking, Security, 24/7 Maintenance, Gym, Modern Kitchen, Concierge",8435,سلام مهنا,"الحكير, شربتلي and الجابر",Sold,2024-12-12,2025-08-24 16:23:04
267,"Building 264, Floor 16, Unit 609, Arabian Ranches, Dubai, UAE",2016336,3,4,6236,Garden Apartment,Arabian Ranches,Dubai Properties,2026-05-01,Street View,"Built-in Wardrobes, Parking, Children's Playground, Central AC, Balcony, Terrace",45549,عمر آل خضير,"حجار, آل بن ظافر and آل محمد بن علي بن جماز",Available,2025-07-11,2025-08-24 16:23:04
268,"Building 523, Floor 1, Unit 1, Mirdif, Dubai, UAE",7445711,5,3,2465,Villa,Mirdif,Emaar Properties,2021-08-28,City View,"Maid's Room, Garden, Basketball Court, Gym",41593,جواهر بقشان,Shelton-Hayes,Rented,2025-02-11,2025-08-24 16:23:04
269,"Building 30, Floor 50, Unit 209, Umm Suqeim, Dubai, UAE",919808,3,2,4203,Triplex,Umm Suqeim,Better Homes,2021-03-21,Pool View,"24/7 Maintenance, Security, Children's Playground, Parking, Spa, Modern Kitchen",31231,Teresa Ward MD,Vargas-Hernandez,Under Contract,2025-05-07,2025-08-24 16:23:04
270,"Building 152, Floor 28, Unit 198, Al Nahda, Dubai, UAE",2056078,7,2,3604,Loft,Al Nahda,Chestertons,2024-06-08,Pool View,"Study Room, Terrace, Maid's Room, Gym",24477,Thomas Robles,"آل حسين, بن لادن and آل العسكري",Under Contract,2024-12-27,2025-08-24 16:23:04
271,"Building 509, Floor 31, Unit 524, Al Yalayis, Dubai, UAE",2180823,6,5,2994,Triplex,Al Yalayis,Better Homes,2026-07-21,Mountain View,"Study Room, Modern Kitchen, Spa, Central AC, Parking",15913,الأستاذ وفائي العقيل,"آل جعفر, بقشان and آل الشيخ",Available,2025-08-06,2025-08-24 16:23:04
272,"Building 249, Floor 42, Unit 521, Business Bay, Dubai, UAE",2497009,0,1,540,Studio,Business Bay,Select Group,2024-07-21,Garden View,"Spa, Parking, Maid's Room",21044,السيدة أسيل الخرافي,"بقشان, العقيل and آل معيض",Sold,2025-01-20,2025-08-24 16:23:04
273,"Building 125, Floor 4, Unit 618, Dubai Sports City, Dubai, UAE",2616997,4,2,3691,Serviced Apartment,Dubai Sports City,Deyaar Development,2020-09-06,City View,"Maid's Room, Study Room, Furnished, Terrace, BBQ Area, Swimming Pool, Central AC",49960,Dustin Peterson,"آل سعود, آل سلطان and الدباغ",Available,2024-09-09,2025-08-24 16:23:04
274,"Building 695, Floor 48, Unit 485, Jumeirah Park, Dubai, UAE",4692137,7,4,6684,Duplex,Jumeirah Park,Chestertons,2021-09-26,Sea View,"Driver's Room, Central AC, Tennis Court",21609,Charles Smith,Hull-Mcdaniel,Rented,2025-06-10,2025-08-24 16:23:04
275,"Building 197, Floor 33, Unit 909, Dubai Healthcare City, Dubai, UAE",2396849,7,6,3554,Duplex,Dubai Healthcare City,Dubai Properties,2024-06-16,Mountain View,"Maid's Room, Central AC, Pet Friendly, BBQ Area, Walk-in Closet, Study Room, Tennis Court",25855,طموح أبو داوود,Vincent-Sanders,Rented,2025-08-21,2025-08-24 16:23:04
276,"Building 401, Floor 31, Unit 96, Al Aweer, Dubai, UAE",528011,3,1,1047,Apartment,Al Aweer,Aqua Properties,2022-12-26,Street View,"BBQ Area, Garden, Pet Friendly",14674,السيد نضال آل بن لافي,Morales PLC,Rented,2025-04-17,2025-08-24 16:23:04
277,"Building 503, Floor 37, Unit 712, Al Qusais, Dubai, UAE",2610513,4,3,2785,Duplex,Al Qusais,Meraas,2021-07-14,Mountain View,"Balcony, Maid's Room, Spa",34657,Heather Krueger,"آل الشيخ, آل محمد بن علي بن جماز and العليان",Under Contract,2025-05-11,2025-08-24 16:23:04
278,"Building 314, Floor 26, Unit 687, Dubai Media City, Dubai, UAE",7649419,5,6,4633,Townhouse,Dubai Media City,Al Habtoor Group,2022-01-08,Sea View,"Modern Kitchen, Furnished, Gym, Balcony, Built-in Wardrobes, Security",29290,Jose Page,"المغاولة, العجلان and حنبولي",Available,2025-01-03,2025-08-24 16:23:04
279,"Building 670, Floor 1, Unit 1, Dubai Knowledge Park, Dubai, UAE",9081009,4,4,6340,Villa,Dubai Knowledge Park,Chestertons,2024-02-27,Garden View,"Concierge, Maid's Room, Walk-in Closet, Tennis Court, Terrace, Garden",30155,الأستاذة تولين آل عواض,Nixon Group,Available,2024-12-01,2025-08-24 16:23:04
280,"Building 33, Floor 17, Unit 146, Jumeirah Park, Dubai, UAE",2686989,5,5,3875,Loft,Jumeirah Park,Bloom Properties,2022-09-26,Street View,"Balcony, Furnished, Swimming Pool, Maid's Room",17210,رمزي أبو داوود,بن لادن-آل علي,Available,2024-10-25,2025-08-24 16:23:04
281,"Building 928, Floor 46, Unit 166, Al Quoz, Dubai, UAE",1693806,1,1,1399,Apartment,Al Quoz,Damac Properties,2022-05-19,City View,"Basketball Court, Built-in Wardrobes, BBQ Area, Security, Concierge",6071,Craig Stanley,"Joseph, Mercado and Moore",Sold,2024-08-29,2025-08-24 16:23:04
282,"Building 411, Floor 7, Unit 373, Al Wasl, Dubai, UAE",3644177,5,2,7758,Townhouse,Al Wasl,Aqua Properties,2027-08-02,City View,"Tennis Court, Basketball Court, Swimming Pool, Modern Kitchen, Study Room, Central AC, BBQ Area",10202,السيدة لينا آل بن لافي,"Singh, Webb and Marsh",Rented,2025-06-25,2025-08-24 16:23:04
283,"Building 111, Floor 17, Unit 6, Al Wasl, Dubai, UAE",1675426,3,2,6575,Serviced Apartment,Al Wasl,Select Group,2023-04-16,Mountain View,"Pet Friendly, Walk-in Closet, Children's Playground, Parking",12213,Mr. Tony Holden,المهيدب LLC,Under Contract,2024-12-04,2025-08-24 16:23:04
284,"Building 254, Floor 50, Unit 905, Dubai Sports City, Dubai, UAE",3087472,5,4,6578,Duplex,Dubai Sports City,Dubai Properties,2024-06-01,City View,"Maid's Room, Spa, Gym, Security, Walk-in Closet, Terrace, Pet Friendly",35243,الآنسة مايا المهنا,Dixon Inc,Under Contract,2025-04-04,2025-08-24 16:23:04
285,"Building 185, Floor 21, Unit 934, Al Karama, Dubai, UAE",7143426,7,3,4317,Townhouse,Al Karama,Cluttons,2027-02-06,Pool View,"BBQ Area, Balcony, Walk-in Closet, Terrace, Garden, Central AC, Parking, Tennis Court",31292,الدكتور عدنان المغاولة,Armstrong-Roberts,Rented,2025-04-15,2025-08-24 16:23:04
286,"Building 517, Floor 1, Unit 1, Dubai Marina, Dubai, UAE",11915902,3,2,7728,Villa,Dubai Marina,Meraas,2022-04-05,Garden View,"Pet Friendly, Walk-in Closet, 24/7 Maintenance, Modern Kitchen, Driver's Room, Terrace, Swimming Pool, Central AC",14555,Teresa Perry,Brown and Sons,Rented,2025-06-26,2025-08-24 16:23:04
287,"Building 114, Floor 29, Unit 252, Mirdif, Dubai, UAE",2772186,5,4,5994,Townhouse,Mirdif,Union Properties,2022-05-28,Garden View,"Children's Playground, Security, Spa, Balcony, Walk-in Closet",31456,بلماء الحجار,الحكير and Sons,Sold,2024-12-10,2025-08-24 16:23:04
288,"Building 805, Floor 27, Unit 531, Al Marmoom, Dubai, UAE",2040193,0,1,356,Studio,Al Marmoom,Azizi Developments,2020-09-08,Pool View,"Gym, Balcony, Swimming Pool, Parking, Maid's Room",5306,المهندس ميسور آل بن لافي,Jacobs Group,Under Contract,2025-03-15,2025-08-24 16:23:04
289,"Building 381, Floor 1, Unit 1, Al Nahda, Dubai, UAE",9995325,5,2,7909,Villa,Al Nahda,Savills,2026-09-06,City View,"Concierge, Security, Terrace, Swimming Pool, Garden",29406,عمر آل خضير,المغاولة Group,Rented,2024-10-26,2025-08-24 16:23:04
290,"Building 65, Floor 47, Unit 79, Jumeirah Beach Residence, Dubai, UAE",2741228,3,6,6116,Triplex,Jumeirah Beach Residence,Better Homes,2025-03-29,Mountain View,"Concierge, Built-in Wardrobes, Pet Friendly, Modern Kitchen, Spa",20176,Michael Farley,"العقيل, آل بن لافي and مهنا",Rented,2025-05-04,2025-08-24 16:23:04
291,"Building 923, Floor 1, Unit 1, Jumeirah Beach Residence, Dubai, UAE",13673609,4,2,3384,Villa,Jumeirah Beach Residence,Union Properties,2025-07-19,Sea View,"Pet Friendly, Terrace, Built-in Wardrobes, Parking, Basketball Court, Maid's Room, Walk-in Closet",15019,Renee Ramirez,Nicholson-Smith,Under Contract,2025-03-20,2025-08-24 16:23:04
292,"Building 42, Floor 39, Unit 222, Dubai Hills Estate, Dubai, UAE",2278509,4,2,3841,Garden Apartment,Dubai Hills Estate,Deyaar Development,2027-01-03,Sea View,"Study Room, Gym, Basketball Court, Furnished, Driver's Room, Tennis Court",37880,Joseph Riddle,Mckay-Silva,Available,2025-04-30,2025-08-24 16:23:04
293,"Building 191, Floor 35, Unit 126, Al Qusais Industrial, Dubai, UAE",1644848,4,4,6518,Duplex,Al Qusais Industrial,Damac Properties,2025-10-06,Street View,"Tennis Court, Swimming Pool, Spa, Study Room, Basketball Court",36314,غيداء شربتلي,Bennett LLC,Sold,2024-12-24,2025-08-24 16:23:04
294,"Building 238, Floor 50, Unit 443, Al Awir, Dubai, UAE",12050473,4,4,5281,Penthouse,Al Awir,Knight Frank,2025-02-14,Mountain View,"Spa, Built-in Wardrobes, Gym, Walk-in Closet, Central AC, Tennis Court",22768,المهندسة سديم آل خضير,Ortiz-Collier,Rented,2025-05-25,2025-08-24 16:23:04
295,"Building 327, Floor 11, Unit 719, Mirdif, Dubai, UAE",1853790,1,3,1695,Apartment,Mirdif,Sobha Realty,2026-06-09,Garden View,"Modern Kitchen, Balcony, Maid's Room, Walk-in Closet",20743,الدكتورة هنادي آل رفيع,Guerrero Ltd,Available,2025-05-17,2025-08-24 16:23:04
296,"Building 373, Floor 47, Unit 641, The Meadows, Dubai, UAE",14395063,7,5,7202,Penthouse,The Meadows,Azizi Developments,2022-07-16,Mountain View,"Pet Friendly, Furnished, Terrace, Central AC, Spa, Tennis Court, Swimming Pool",35665,Denise Caldwell,آل عطفة-أبا الخيل,Available,2024-08-29,2025-08-24 16:23:04
297,"Building 714, Floor 32, Unit 572, Jumeirah Beach Residence, Dubai, UAE",12504694,7,4,5645,Penthouse,Jumeirah Beach Residence,Savills,2024-11-22,Street View,"Central AC, Tennis Court, Walk-in Closet, Parking, Balcony, Modern Kitchen, 24/7 Maintenance",11045,الآنسة بتول بن لادن,"Wallace, Shepard and Fuentes",Under Contract,2025-06-21,2025-08-24 16:23:04
298,"Building 694, Floor 17, Unit 501, Al Barsha, Dubai, UAE",5898585,5,4,3856,Townhouse,Al Barsha,Meraas,2021-02-12,Sea View,"Children's Playground, Walk-in Closet, Maid's Room, Garden, Basketball Court, Terrace, 24/7 Maintenance",32021,Daniel Ali,Walker LLC,Available,2024-12-30,2025-08-24 16:23:04
299,"Building 718, Floor 5, Unit 883, Jumeirah, Dubai, UAE",1500174,4,3,1923,Apartment,Jumeirah,Aqua Properties,2021-08-09,Mountain View,"Walk-in Closet, Balcony, Tennis Court, BBQ Area, 24/7 Maintenance, Pet Friendly",17076,Jamie Petersen,Mccann-Tate,Rented,2025-03-28,2025-08-24 16:23:04
300,"Building 516, Floor 7, Unit 725, Emirates Hills, Dubai, UAE",1387450,5,4,5696,Serviced Apartment,Emirates Hills,Deyaar Development,2025-07-05,Street View,"Driver's Room, Parking, Children's Playground, Concierge",33884,Debra Levine,Chavez and Sons,Sold,2025-03-27,2025-08-24 16:23:04
301,"Building 34, Floor 21, Unit 382, Downtown Dubai, Dubai, UAE",4579228,6,3,5529,Penthouse,Downtown Dubai,Savills,2020-11-09,Garden View,"Parking, Children's Playground, Concierge, Tennis Court, Walk-in Closet, Maid's Room, Central AC",25295,أحمد آل بن ظافر,Allen LLC,Available,2025-02-20,2025-08-24 16:23:04
302,"Building 623, Floor 26, Unit 321, Dubai Hills Estate, Dubai, UAE",1315662,7,3,5160,Loft,Dubai Hills Estate,Al Habtoor Group,2027-08-14,Garden View,"Built-in Wardrobes, Tennis Court, Swimming Pool",33265,السيد مُتوكّل العقيل,حنبولي-آل معيض,Rented,2024-08-24,2025-08-24 16:23:04
303,"Building 131, Floor 1, Unit 1, Al Qusais Industrial, Dubai, UAE",11638725,4,3,6292,Villa,Al Qusais Industrial,Better Homes,2021-03-16,Street View,"BBQ Area, Parking, Spa, Children's Playground, Security, Pet Friendly",32333,Steven Bailey,Young-Lee,Under Contract,2025-04-23,2025-08-24 16:23:04
304,"Building 618, Floor 49, Unit 466, Al Yalayis, Dubai, UAE",1734290,7,6,7260,Loft,Al Yalayis,Better Homes,2026-10-26,Pool View,"24/7 Maintenance, Maid's Room, Furnished, Children's Playground, Tennis Court, Security, Concierge, Central AC",23540,أناهيد الجفالي,Gray-Patterson,Available,2025-03-05,2025-08-24 16:23:04
305,"Building 558, Floor 7, Unit 632, The Springs, Dubai, UAE",2758165,4,4,3849,Serviced Apartment,The Springs,Azizi Developments,2024-08-17,Garden View,"Balcony, Central AC, Garden, Spa, Study Room, Tennis Court, Parking, Security",28307,David Mason,آل العسكري Group,Available,2025-01-29,2025-08-24 16:23:04
306,"Building 744, Floor 48, Unit 147, Al Barsha, Dubai, UAE",1363998,3,2,1193,Apartment,Al Barsha,Nakheel,2025-09-07,Pool View,"Terrace, Tennis Court, Study Room, Modern Kitchen, Spa, Gym, Garden, Parking",37513,السيدة ليساء بن لادن,كانو Ltd,Sold,2024-11-30,2025-08-24 16:23:04
307,"Building 797, Floor 17, Unit 725, Al Nahda, Dubai, UAE",1391245,5,5,7879,Loft,Al Nahda,Sobha Realty,2021-04-11,Pool View,"Study Room, Built-in Wardrobes, Security, Furnished",34838,المهندسة ترف الحجار,Brock-Hopkins,Under Contract,2024-10-19,2025-08-24 16:23:04
308,"Building 179, Floor 27, Unit 985, Al Ruwayyah, Dubai, UAE",2169970,5,2,2459,Serviced Apartment,Al Ruwayyah,Union Properties,2023-05-03,Garden View,"Terrace, Security, Furnished, Basketball Court, Parking, Pet Friendly, Swimming Pool, Garden",12345,غالب الجفالي,أبو داوود Group,Sold,2025-07-10,2025-08-24 16:23:04
309,"Building 119, Floor 2, Unit 838, Al Jafiliya, Dubai, UAE",1236049,3,6,7040,Loft,Al Jafiliya,Union Properties,2021-08-06,Street View,"Garden, BBQ Area, Basketball Court, Walk-in Closet, Built-in Wardrobes, Gym",22510,راجح الجابر,"الدباغ, الشايع and الخرافي",Under Contract,2025-04-22,2025-08-24 16:23:04
310,"Building 342, Floor 46, Unit 713, Umm Suqeim, Dubai, UAE",1455663,3,5,4945,Serviced Apartment,Umm Suqeim,Nakheel,2022-07-14,Sea View,"Walk-in Closet, Tennis Court, Balcony, 24/7 Maintenance",45018,المهندس دهمان الحجار,آل بن لافي Group,Sold,2025-07-18,2025-08-24 16:23:04
311,"Building 239, Floor 49, Unit 809, Al Manara, Dubai, UAE",13065518,6,5,7256,Penthouse,Al Manara,Bloom Properties,2021-02-10,Garden View,"Spa, Swimming Pool, Study Room, Basketball Court, Children's Playground, Tennis Court, Parking, Walk-in Closet",41821,Amber Collins,"Reese, Martin and Johnson",Rented,2024-12-09,2025-08-24 16:23:04
312,"Building 745, Floor 38, Unit 646, Jumeirah Islands, Dubai, UAE",1585807,5,6,3189,Garden Apartment,Jumeirah Islands,Al Habtoor Group,2023-03-01,Street View,"Central AC, Swimming Pool, Children's Playground, 24/7 Maintenance, Spa, Furnished",43273,Deborah Johnson,"Smith, Martin and Snyder",Under Contract,2025-04-11,2025-08-24 16:23:04
313,"Building 710, Floor 31, Unit 173, Umm Suqeim, Dubai, UAE",1464073,4,2,5651,Serviced Apartment,Umm Suqeim,Dubai Properties,2026-05-24,Garden View,"Tennis Court, Concierge, Garden, Terrace, Children's Playground",10053,السيد ثائر الخرافي,شربتلي Inc,Rented,2024-12-24,2025-08-24 16:23:04
314,"Building 6, Floor 3, Unit 365, Al Qusais Industrial, Dubai, UAE",2304358,6,2,7836,Duplex,Al Qusais Industrial,Union Properties,2027-02-13,Pool View,"Study Room, Driver's Room, Gym, Children's Playground, Parking, Balcony",33320,بهجة آل عواض,Melendez-Russell,Rented,2024-08-29,2025-08-24 16:23:04
315,"Building 457, Floor 1, Unit 1, Al Nahda, Dubai, UAE",7900694,7,5,6786,Villa,Al Nahda,Al Habtoor Group,2021-07-16,Pool View,"Balcony, 24/7 Maintenance, Study Room, Walk-in Closet, Security, Built-in Wardrobes, BBQ Area, Concierge",24728,Amy Simon,"آل قصير, آل حسين and آل سعود",Sold,2025-05-03,2025-08-24 16:23:04
316,"Building 17, Floor 49, Unit 973, Dubai Sports City, Dubai, UAE",4277394,4,5,6107,Townhouse,Dubai Sports City,Dubai Properties,2027-04-21,Pool View,"Children's Playground, Gym, Modern Kitchen, Terrace",32394,الأستاذة مايا آل صفوان,حجار LLC,Under Contract,2025-04-23,2025-08-24 16:23:04
317,"Building 681, Floor 25, Unit 248, Dubai Marina, Dubai, UAE",706061,7,2,3243,Triplex,Dubai Marina,Select Group,2025-10-29,Street View,"Pet Friendly, Spa, 24/7 Maintenance, BBQ Area, Balcony, Swimming Pool, Tennis Court",25457,المهندس عثمان بن لادن,آل قصير-شربتلي,Rented,2024-12-10,2025-08-24 16:23:04
318,"Building 871, Floor 20, Unit 652, Umm Suqeim, Dubai, UAE",2051746,5,2,7815,Serviced Apartment,Umm Suqeim,Chestertons,2021-12-05,Street View,"Driver's Room, Security, Balcony, Spa, Walk-in Closet, Central AC, Modern Kitchen",10639,حمزة المهيدب,"Daniels, Dickerson and Powell",Rented,2025-05-10,2025-08-24 16:23:04
319,"Building 464, Floor 18, Unit 683, Al Barsha, Dubai, UAE",6054831,4,2,2467,Townhouse,Al Barsha,Savills,2025-10-04,Sea View,"BBQ Area, Central AC, Walk-in Closet, Spa, Maid's Room",40886,الأستاذة سجا آل جعفر,Howe-Barrett,Under Contract,2024-09-27,2025-08-24 16:23:04
320,"Building 595, Floor 27, Unit 670, Al Hudaiba, Dubai, UAE",2717629,3,3,1622,Apartment,Al Hudaiba,Ellington Properties,2023-07-01,City View,"Swimming Pool, Walk-in Closet, Built-in Wardrobes",29913,محفوظ آل علي,Lopez and Sons,Under Contract,2024-11-15,2025-08-24 16:23:04
321,"Building 100, Floor 43, Unit 111, Al Hudaiba, Dubai, UAE",2203111,3,2,733,Apartment,Al Hudaiba,Bloom Properties,2023-11-20,Garden View,"Central AC, Gym, Walk-in Closet, Built-in Wardrobes, Parking, Basketball Court, Garden, 24/7 Maintenance",45680,قانت الجفالي,آل صفوان-آل عطفة,Available,2025-03-10,2025-08-24 16:23:04
322,"Building 235, Floor 30, Unit 367, Emirates Hills, Dubai, UAE",1028035,3,6,7256,Triplex,Emirates Hills,Nakheel,2025-07-06,Street View,"Furnished, Security, BBQ Area, Basketball Court, Concierge, Spa",26540,الدكتور صدقي الراشد,"العقيل, آل عواض and آل معيض",Under Contract,2024-11-17,2025-08-24 16:23:04
323,"Building 902, Floor 44, Unit 859, Umm Suqeim, Dubai, UAE",1828883,3,4,4792,Serviced Apartment,Umm Suqeim,Deyaar Development,2027-04-22,Pool View,"Central AC, Spa, Garden, Modern Kitchen, Parking, Children's Playground, Tennis Court, Gym",17254,Andrea Davenport,"Lucero, Lopez and Ramos",Under Contract,2025-04-22,2025-08-24 16:23:04
324,"Building 492, Floor 22, Unit 945, Jumeirah Park, Dubai, UAE",11826273,3,6,5220,Penthouse,Jumeirah Park,Omniyat,2022-10-13,Garden View,"24/7 Maintenance, Swimming Pool, Pet Friendly",26722,السيد ميّاد آل خضير,Wilson Group,Under Contract,2025-07-03,2025-08-24 16:23:04
325,"Building 258, Floor 36, Unit 543, Dubai Hills Estate, Dubai, UAE",7305643,7,4,7094,Duplex,Dubai Hills Estate,Ellington Properties,2025-07-29,Pool View,"Gym, Modern Kitchen, Basketball Court",23078,آيات فصيل,"Wallace, Adams and Rice",Rented,2024-11-22,2025-08-24 16:23:04
326,"Building 99, Floor 17, Unit 291, Al Yalayis, Dubai, UAE",3846920,4,6,2715,Townhouse,Al Yalayis,Al Habtoor Group,2023-10-01,Pool View,"Concierge, Study Room, Maid's Room, Children's Playground",5820,عماد حجار,Sanders and Sons,Under Contract,2024-09-30,2025-08-24 16:23:04
327,"Building 225, Floor 21, Unit 674, Al Lisaili, Dubai, UAE",14141072,4,2,3016,Penthouse,Al Lisaili,Al Habtoor Group,2027-02-02,Street View,"Garden, Tennis Court, Central AC",46151,Nicole Lewis,Moore-Chavez,Sold,2025-02-01,2025-08-24 16:23:04
328,"Building 965, Floor 8, Unit 226, Mirdif, Dubai, UAE",5247583,3,5,6186,Duplex,Mirdif,Dubai Properties,2021-06-27,Sea View,"Parking, Children's Playground, Spa, Terrace, Study Room, Garden, Central AC, Security",48975,Mrs. Jessica Howard MD,بقشان-مهنا,Available,2025-01-01,2025-08-24 16:23:04
329,"Building 207, Floor 28, Unit 954, Al Hudaiba, Dubai, UAE",7266622,5,4,6024,Duplex,Al Hudaiba,Knight Frank,2024-06-30,Garden View,"Swimming Pool, Walk-in Closet, Balcony, Tennis Court",21242,السيد عارف آل بن لافي,حنبولي-الراشد,Available,2024-11-15,2025-08-24 16:23:04
330,"Building 183, Floor 29, Unit 546, Al Satwa, Dubai, UAE",8184020,7,4,5390,Townhouse,Al Satwa,Knight Frank,2023-03-03,Mountain View,"Gym, Garden, 24/7 Maintenance, Tennis Court",25416,الدكتور وفيق آل عواض,Berg PLC,Sold,2025-01-10,2025-08-24 16:23:04
331,"Building 115, Floor 1, Unit 1, Al Lisaili, Dubai, UAE",11014606,4,3,4013,Villa,Al Lisaili,Dubai Properties,2020-09-29,Mountain View,"Modern Kitchen, 24/7 Maintenance, Gym, Concierge",27780,جوليا آل العسكري,Diaz-Griffin,Available,2025-07-17,2025-08-24 16:23:04
332,"Building 382, Floor 11, Unit 997, Al Marmoom, Dubai, UAE",586933,7,5,4811,Serviced Apartment,Al Marmoom,Aqua Properties,2022-01-07,Sea View,"Security, Gym, BBQ Area, Walk-in Closet, Parking",20149,الدكتورة سبأ حنبولي,"Mcbride, Hall and Robertson",Under Contract,2024-11-23,2025-08-24 16:23:04
